City Population Area(km^2)
SUWA 49666 109.17
SANUKI 49630 158.63
SHIMA 49553 178.95
TAKASHIMA 49328 693.05
TOMIOKA 49205 122.85
NOBORIBETSU 48977 212.21
OOAMISHIROSATO 48944 58.08
HIOKI 48933 253.01
NOMI 48927 84.14
TAKEO 48799 195.40
TONAMI 48761 127.03
KITAKATA 48740 554.63
HAGI 48704 698.31
FUJIYOSHIDA 48639 121.74
KURAYOSHI 48558 272.06
CHIKUGO 48405 41.78
ONO 48274 92.94
TAGAWA 48259 54.55
AKOU 48076 126.85
NUMATA 48071 443.46
HOKOTA 47975 207.61
IZUNOKUNI 47869 94.62
KIKUCHI 47798 276.85
NANGOKU 47767 125.30
HIGASHINE 47692 206.94
ISHIGAKI 47562 229.34
HIMI 47293 230.56
TATEYAMA 47094 110.05
MASUDA 47088 733.19
KIKUGAWA 46942 94.19
TAKAHAMA 46880 13.11
SHINJO 46528 499.23
MINAMIAWAJI 46369 229.01
HOKUTO 45991 397.44
KOBAYASHI 45734 562.95
INABE 45693 219.83
MINAMISHIMABARA 45673 170.11
YUZAWA 45651 790.91
MANIWA 45459 828.53
FUTTSU 45114 205.53
MAKINOHARA 45050 111.69
SHIMABARA 44965 82.97
SAKURA 44899 125.63
HOKUTO 44841 602.48
IWANUMA 44791 60.45
MIURA 44651 32.05
OGI 44031 95.81
KASAI 44016 150.98
KITAIBARAKI 43716 186.80
SUMOTO 43693 182.38
NAKANO 43530 112.18
ITOIGAWA 43528 746.24
UNZEN 43476 214.31
AWAJI 43450 184.32
OOSU 43350 432.22
YATOMI 43028 49.00
AKAIWA 43007 209.36
SHIMOTSUMA 42996 80.88
MINAMIASHIGARA 42873 77.12
AGANO 42841 192.74
AMAMI 42690 308.27
UOTSU 42556 200.61
NANJOU 42478 49.94
KOMORO 42282 98.55
INASHIKI 42217 205.81
HITACHIOMIYA 42018 348.45
SAKURAGAWA 42000 180.06
KASUMIGAURA 41706 156.60
GUJOU 41413 1030.75
NAKAMA 41336 15.96
IBUSUKI 41223 148.84
SHINOYAMA 41159 377.59
TAKIGAWA 40930 115.90
YOSHINOGAWA 40928 144.14
SAGAE 40924 139.03
KUROBE 40823 426.31
IHARA 40761 243.54
KATO 40592 157.55
NISHIWAKI 40458 132.44
MITSUKE 40402 77.91
MIASAWA 39649 119.87
HIGASHIMATSUSHIMA 39601 101.36
FUCHU 39495 29.43
YASUGI 39063 420.93
ABASHIRI 38630 471.00
MAIBARA 38628 250.39
MIZUNAMI 38519 174.86
UNNAN 38506 553.18
SOUMA 38448 197.79
MINAMIBOUSOU 38430 230.15
USUKI 38314 291.20
KOMATUJIMA 38264 45.37
SEIYO 38260 514.34
ISUMI 37997 157.50
KAMA 37940 135.11
TAMURA 37889 458.33
MIYAMA 37606 105.21
OFUNATO 37547 322.50
ATAMI 37222 61.78
SHISOU 37030 658.54
UTO 36804 74.30
SOUSA 36777 101.52
KATSURAGI 36720 33.72
SETOUCHI 36684 125.45
UONUMA 36682 946.76
AWA 36652 191.11
GOTOU 36602 420.10
IYO 36457 194.44
SHINJO 36431 222.85
KAMAISHI 36363 440.34
SHOBARA 36323 1246.49
BUNGOONO 36077 603.14
OJIYA 36056 155.19
SONE 35855 390.11
WAKKANAI 35730 761.47
MINAMIKYUSHU 35712 357.91
KUJI 35147 623.50
MINAMISATSUMA 34960 283.59
NAGATO 34882 357.29
SHIROISHI 34831 286.48
YAMANASHI 34663 289.80
OOTA 34628 435.71
DATE 34601 265.12
KAIZU 34591 112.03
MIZEN 34516 258.14
NAMEKATA 34418 222.48
TOUON 34417 211.30
OKAWA 34371 33.62
KAHOKU 34250 64.44
YAWATAHAMA 34224 132.68
SHIMANTO 34085 632.29
YUFU 33957 319.32
ASAKUTI 33949 66.46
MOTOSU 33840 374.65
SAKAIMINATO 33809 29.10
KUROISHI 33778 217.05
KAMOKAWA 33476 191.14
HITOYOSHI 33450 210.55
AYABE 33431 347.10
GERO 33034 851.21
YAITA 33013 170.46
NANTAN 32893 616.40
KATAGAMI 32809 97.72
TUGARU 32779 253.55
KOUNAN 32768 126.48
MYOUKOU 32719 445.63
ONO 32697 872.43
ZENTSUJI 32682 39.93
NAMERIKAWA 32642 54.63
KOMAGANE 32615 165.86
KITAAKITA 32594 1152.76
YANAI 32490 140.05
OMAEZAKI 32312 65.56
NANYO 31955 160.52
HIRAKAWA 31709 346.01
KOURYOU 31689 546.99
KANZAKI 31660 125.13
TSURU 31593 161.63
KAZUNO 31437 707.52
KOUSHU 31324 264.11
HIRADO 31293 235.08
SHIBUSHI 31148 290.28
KAMINOYAMA 31135 240.93
CHUOU 31045 31.69
MOTOMIYA 30880 88.02
TSUSHIMA 30819 708.65
IZU 30739 363.97
ASAGO 30507 403.06
HIGASHIKAGAWA 30500 152.83
NIRASAKI 30449 143.69
UDA 30415 247.50
GOJOU 30369 292.02
SAITO 30324 438.79
NIIMI 30131 793.29
KOYABE 30043 134.07
MIMA 30033 367.14
TOUGO 29967 112.37
TAINAI 29920 264.89
AIOI 29885 90.40
TSUNODA 29861 147.53
KITSUKI 29807 280.08
OBAMA 29417 233.09
KASHIMA 29392 112.12
TAKAHAGI 29207 193.58
UKIHA 29117 117.46
AKITAKADA 29103 537.75
ICHIKIKUSHIKINO 28863 112.30
ITAKO 28849 71.40
SHINGU 28749 255.23
NAYORO 28661 535.20
AWARA 28389 116.98
SAIKAI 28294 241.59
KUNISAKI 28215 318.10
ARITA 27963 36.89
OGA 27806 241.09
MIYAWAKA 27782 139.99
OTAKE 27671 78.66
TONO 27658 825.97
OMACHI 27596 565.15
MIMASAKA 27446 429.29
KAMO 27389 133.72
NAGAI 27375 214.67
KOUMI 27196 537.86
NINOHE 27149 420.42
URESHINO 27087 126.41
SENBOKU 26993 1093.56
TOSA 26815 91.49
YAMAGATA 26754 221.98
ASO 26655 376.30
NASUTORIYAMA 26654 174.35
IKI 26639 139.42
WAJIMA 26633 426.32
GOSE 26502 60.58
KAMIAMAKUSA 26412 126.91
ISA 26343 392.56
NEMURO 26338 411.41
MIYOSHI 26265 721.42
TAKEHARA 25959 118.23
HACHIMANTAI 25861 862.30
BUZEN 25730 111.10
MINE 25703 472.64
MINAMATA 24984 163.29
OTSUKI 24902 280.25
NIKAHO 24860 241.13
GOBOU 24414 43.91
MURAYAMA 24322 196.98
HIDA 24274 792.53
UENOHARA 24261 170.57
GOUTSU 24121 268.24
EDAJIMA 23930 100.70
YABU 23922 422.91
KATSUYAMA 23745 253.88
MATSUURA 23019 130.55
MONBETSU 22723 830.71
BUNGOTAKADA 22692 206.24
FURANO 22623 600.71
SHIMODA 22462 104.38
BIHORO 22426 277.69
SUZAKI 22275 135.44
RUMOI 21860 297.83
TAKEDA 21850 477.53
MAKURAAKI 21619 74.78
FUKAGAWA 21526 529.42
HAKUI 21515 81.85
IIYAMA 20959 202.43
AKUNE 20826 134.29
SUKUMO 20610 286.19
MINO 20422 117.01
RIKUZENTAKATA 19473 231.94
TAKU 19450 96.96
HOROBETU 19415 1119.22
EBINO 19201 282.93
TOBA 19106 107.34
KATSUURA 18662 93.96
KUSHIMA 18451 295.16
MIYAZU 18094 172.74
OWASE 17610 192.71
TSUKUMI 17549 79.48
SUNAGAWA 17457 78.68
